,Notification_Clicked,Push_Imp,Merged,CTR
0,99,134,"Dear Customer,! Check your Flexi account for your available limit. Check Now!",0.7388059701492538
1,16,26,Transaction Update! Your EMI Network Card  issued is blocked inline with our policy. Use alternate payment options.,0.6153846153846154
2,7,15,Update on your transaction ! Transaction on your EMI Network Card is declined since it is blocked. Click here to check on why is the card is blocked.,0.4666666666666667
3,99,217,"Dear Customer, Check your available fund and use it as per your requirement. Check Now!",0.45622119815668205
4,99,226,"Dear Customer, Check your Flexi account to know your available limit. 💰",0.43805309734513276
5,127,298,"Dear Customer, Check your Flexi fund and access extra funds today!",0.4261744966442953
6,99,250,"Dear Customer,! Check your available fund and use it as per your requirement. Check Now!",0.396
7,71,181,"Dear Customer, Check the available limit in your Flexi account and solve any financial worries today! 🏦",0.39226519337016574
8,71,196,"Dear Customer, Check your Flexi account to know your available limit and drawdown.",0.3622448979591837
9,71,215,"Hi Customer, Say goodbye to tax-time stress. Check your available funds and pay your taxes in advance with ease!",0.3302325581395349
10,71,219,"Dear Customer, Check your Flexi account for your available limit.",0.3242009132420091
11,114,402,"Dear Customer, Check your Flexi account for available funds.",0.2835820895522388
12,71,414,"Dear Customer, Access your Flexi account to see your available limit. 💳",0.17149758454106281
13,6,40,Card Update! You already have an EMI Network Card. Shop at easy EMIs using registered mobile no. Click to view your card.,0.15
14,7,48,Your online transaction was unsuccessful! Visit our nearest partner store for your purchase. Tap here to check the nearest store.,0.14583333333333334
15,15,140,"Dear Customer, Check your Flexi account to know your available limit and drawdown. Check Now!",0.10714285714285714
16,15,160,"Dear Customer, Check your available fund and use it as per your requirement.",0.09375
17,15,171,"Dear Customer, Expense increased with income? Flexi is here to help you. Check your available limit and manage your expenses with Flexi.",0.08771929824561403
18,10,147,"Update! Your registered email id is successfully updated. For any query, click here.",0.06802721088435375
19,5,134,"Loan Update! Click to accept Loan terms document updated in My Orders section. Please note that the commercials in loan terms document are final and will supersede any verbal/written commitments. For query, connect our executive at store.",0.03731343283582089
20,6,169,UPI Alert! You have initiated UPI registration on Bajaj Finserv app. Do not share card details/OTP to avoid financial loss. Not you? TAP to report NOW,0.03550295857988166
21,23,664,⏰ Don't Forget! Your Payment is Past Due You are yet to make payment for your pending overdues. Late payment/Non-payment will impact your CIBIL score. Click to pay now. *Ignore if paid,0.03463855421686747
22,7,390,Quick Access to Your Loan Details! आपके ऋण विवरण तक त्वरित पहुँच 📊 Your installment was successfully received! Click here to check your SOA.📄आपकी किस्त सफलतापूर्वक प्राप्त हो गई है! अपने SOA को देखने के लिए यहां क्लिक करें।📄,0.017948717948717947
